,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,12/31/19,Laguna Niguel,CA,33.5,-117.7,3,
2,12/31/19,Pass Christian,MS,30.3,-89.2,1,
3,12/30/19,Santa Rosa Beach,FL,30.3,-86.2,1,
4,12/29/19,Corpus Christi,TX,27.7,-97.3,1,
5,12/28/19,New Orleans,LA,29.9,-90.1,1,
6,12/28/19,Port O Connor,TX,28.5,-96.4,1,
7,12/28/19,Santa Cruz,CA,37,-122,3,
8,12/27/19,Bluffton,SC,32.2,-80.9,1,
9,12/27/19,Mount Pleasant,SC,32.8,-79.9,2,
10,12/27/19,Miami,FL,25.7,-80.4,4,
11,12/27/19,Palacios,TX,28.8,-96.4,3,
12,12/27/19,New Orleans,LA,30,-90.1,4,
13,12/26/19,Clearwater,FL,28,-82.8,1,
14,12/26/19,Ormond Beach,FL,29.3,-81.1,1,
15,12/26/19,Corpus Christi,TX,27.7,-97.3,1,
16,12/25/19,Pass Christian,MS,30.3,-89.2,1,
17,12/25/19,Clearwater,FL,28,-82.8,1,
18,12/25/19,Port O Connor,TX,28.5,-96.4,1,
19,12/24/19,Missouri City,TX,29.6,-95.6,2,
20,12/24/19,Corpus Christi,TX,27.8,-97.4,1,
21,12/24/19,Cypress,TX,29.9,-95.7,2,
22,12/23/19,Miami,FL,25.7,-80.4,4,
23,12/23/19,Corpus Christi,TX,27.8,-97.4,1,
24,12/22/19,Corpus Christi,TX,27.8,-97.4,1,
25,12/21/19,Laguna Niguel,CA,33.6,-117.7,1,
26,12/20/19,Spring Valley,CA,32.7,-117,3,
27,12/20/19,Pass Christian,MS,30.3,-89.2,1,
28,12/20/19,Crawfordville,FL,30.1,-84.2,3,
29,12/20/19,Corpus Christi,TX,27.7,-97.3,3,
30,12/20/19,Tucson,AZ,32.2,-111,1,
31,12/20/19,Matagorda Island,TX,28.2,-96.8,2,
32,12/18/19,Corpus Christi,TX,27.7,-97.3,2,
33,12/17/19,Gainesville,FL,29.6,-82.3,2,
34,12/17/19,Tybee Island,GA,32,-80.8,1,
35,12/16/19,Clearwater,FL,28,-82.8,1,
36,12/16/19,Pass Christian,MS,30.3,-89.2,1,
37,12/16/19,Palacios,TX,28.6,-96.1,1,
38,12/15/19,New Orleans,LA,29.9,-90.1,1,
39,12/15/19,Missouri City,TX,29.6,-95.6,2,
40,12/15/19,La Quinta,CA,33.7,-116.3,2,
41,12/13/19,Missouri City,TX,29.6,-95.6,3,
